BañosDesde,BañosHasta,BañosTooltip,Cantidad,CantidadImagenes,Comuna,DormitoriosDesde,DormitoriosHasta,DormitoriosTooltip,EsBienRaiz,EsCliente,EsDelCirculoCorredores,EsFavorita,EsFavorito,EsNueva,EsUltimaVenta,EsUsada,FechaPublicacion,Id,IdBienRaizResumenCoordenada,IdCoordenada,IdPropiedad,IdTipoMoneda,IdTipoOperacion,IdTipoOperacionFamilia,IdTipoOperacionPredominante,IdTipoPropiedadFamilia,Imagen,ImagenPrincipal,Latitud,Longitud,MensajeFotos,MetrajeTooltip,MetrosConstruidos,MetrosTerraza,MetrosTerreno,MetrosUtiles,OrdenProyecto,PrecioDesde,PrecioDespliegue,PrecioHasta,PrecioPesos,PrecioUF,RutaContenido,RutaLogo,RutaLogoResultado,SuperficieConstruidaDesde,SuperficieConstruidaHasta,SuperficieTerrazaDesde,SuperficieTerrazaHasta,SuperficieTerrenoDesde,SuperficieTerrenoHasta,SuperficieUtilDesde,SuperficieUtilHasta,Tiene360,TieneMultimedia,TienePropietario,TieneRolAsociado,TipoOperacion,Titulo,TituloToolTip,UrlFicha
3,3,3 Baños,1000000,37,Las Condes,4,4,4 Dormitorios,False,True,True,False,False,False,0,True,20180314,968067,0,-33.42071190:-70.53904920,968067,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180314/968067/n_wm_cys_102053601_102053601_9.jpg,-33.4207119,-70.5390492,37 fotos,112 m^2 | 127 m^2,0,0,0,0,50,7800.0,UF 7.800,0.0,0,0,,6255/2016051113061503530.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/6255/2016051113061503530.jpg,112.0,112.0,0.0,0.0,0.0,0.0,127.0,127.0,False,False,0,True,Venta,ALONSO DE CAMARGO / VIVIRRI,ALONSO DE CAMARGO / VIVIRRI,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/alonso-de-camargo-vivirri/968067
2,2,2 Baños,1000000,22,Las Condes,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180423,995566,0,-33.42574926:-70.53834051,995566,1,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180423/995566/n_wm_flr_flr1193_e0e7c9e3-56b7-4d35-b5d6-1e3d8a894e2b.jpg,-33.42574926,-70.53834051,22 fotos,75 m^2 | 80 m^2,0,0,0,0,50,175000000.0,$ 175.000.000,0.0,0,0,,1282/2016050418337902589.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/1282/2016050418337902589.jpg,75.0,75.0,0.0,0.0,0.0,0.0,80.0,80.0,False,False,0,False,Venta,Portal La Reina-Ciudad Deportiva - BILBAO-FLEMING,Portal La Reina-Ciudad Deporti...,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/portal-la-reina-ciudad-deportiva-bilbao-fleming/995566
3,3,3 Baños,1000000,16,Las Condes,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180418,990303,0,-33.42356399:-70.53996385,990303,1,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180418/990303/n_wm_flr_flr1189_ff507a61-b468-46b6-ba64-7af22c838fb5.jpg,-33.42356399,-70.53996385,16 fotos,106 m^2 | 125 m^2,0,0,0,0,50,192000000.0,$ 192.000.000,0.0,0,0,,1282/2016050418337902589.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/1282/2016050418337902589.jpg,106.0,106.0,0.0,0.0,0.0,0.0,125.0,125.0,False,False,0,False,Venta,Portal La Reina-Ciudad Deportiva - Mall Los Domini,Portal La Reina-Ciudad Deporti...,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/portal-la-reina-ciudad-deportiva-mall-los-domini/990303
2,2,2 Baños,1000000,10,Las Condes,3,3,3 Dormitorios,False,True,False,False,False,False,0,True,20180404,981474,0,-33.42113880:-70.53974050,981474,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180404/981474/n_wm_9fdf8906-0e99-4e8c-a9a3-8bd7b98653fe_20180404_140119.jpg,-33.4211388,-70.5397405,10 fotos,77 m^2,0,0,0,0,50,6200.0,UF 6.200,0.0,0,0,,13344/2018031907179148859.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/13344/2018031907179148859.jpg,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0,True,Venta,DEPTO LAS CONDES CORDILLERA,DEPTO LAS CONDES CORDILLERA,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/depto-las-condes-cordillera/981474
3,3,3 Baños,1000000,24,Lo Barnechea,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180412,986137,0,-33.35352069:-70.47972212,986137,2,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180412/986137/n_wm_procasa_propiedades_76265833_30846_9.jpg,-33.35352069,-70.47972212,24 fotos,240 m^2 | 730 m^2,0,0,0,0,50,22000.0,UF 22.000,0.0,0,0,,2703/2015031757349607255.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2703/2015031757349607255.jpg,240.0,240.0,0.0,0.0,730.0,730.0,0.0,0.0,False,False,0,True,Venta,El Arrayan / Camino el Refugio del Arrayán/Camino El Cerro,El Arrayan / Camino el Refugio...,https://www.toctoc.com/propiedades/compracorredorasr/casa/lo-barnechea/el-arrayan-camino-el-refugio-del-arrayan-camino-el-cerro/986137
3,3,3 Baños,1000000,28,Lo Barnechea,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180412,986138,0,-33.35352069:-70.47972212,986138,2,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180412/986138/n_wm_procasa_propiedades_76265833_30856_9.jpg,-33.35352069,-70.47972212,28 fotos,240 m^2 | 591 m^2,0,0,0,0,50,21000.0,UF 21.000,0.0,0,0,,2703/2015031757349607255.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2703/2015031757349607255.jpg,240.0,240.0,0.0,0.0,591.0,591.0,0.0,0.0,False,False,0,True,Venta,Camino el Refugio del Arrayán/Camino El Cerro,Camino el Refugio del Arrayán/...,https://www.toctoc.com/propiedades/compracorredorasr/casa/lo-barnechea/camino-el-refugio-del-arrayan-camino-el-cerro/986138
3,3,3 Baños,1000000,26,Lo Barnechea,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180406,983691,0,-33.35352069:-70.47972212,983691,2,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180406/983691/n_wm_procasa_propiedades_76265833_30848_9.jpg,-33.35352069,-70.47972212,26 fotos,240 m^2 | 689 m^2,0,0,0,0,50,21000.0,UF 21.000,0.0,0,0,,2703/2015031757349607255.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2703/2015031757349607255.jpg,240.0,240.0,0.0,0.0,689.0,689.0,0.0,0.0,False,False,0,False,Venta,Camino el Refugio del Arrayán/Camino El Cerro,Camino el Refugio del Arrayán/...,https://www.toctoc.com/propiedades/compracorredorasr/casa/lo-barnechea/camino-el-refugio-del-arrayan-camino-el-cerro/983691
4,4,4 Baños,1000000,37,Lo Barnechea,4,4,4 Dormitorios,False,True,False,False,False,False,0,True,20171225,927169,0,-33.35322239:-70.47997646,927169,2,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20171225/927169/n_wm_mimica_propiedades_101129526_129526-101129526-316064_10.jpg,-33.35322239,-70.47997646,37 fotos,238 m^2 | 437 m^2,0,0,0,0,50,20500.0,UF 20.500,0.0,0,0,,2687/2014090346581414151.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2687/2014090346581414151.jpg,238.0,238.0,0.0,0.0,437.0,437.0,0.0,0.0,False,False,0,False,Venta,"Exclusivo Condominio con 9 casas disponibles, desde uf 18.500 a uf 22.000. Vista natural única, cercano a la Plaza San Enrique y Costanera Norte en Lo",Exclusivo Condominio con 9 cas...,https://www.toctoc.com/propiedades/compracorredorasr/casa/lo-barnechea/exclusivo-condominio-con-9-casas-disponibles-desde-uf-18-500-a-uf-22-000-vista-natural-unica-cercano/927169
3,3,3 Baños,1000000,29,Lo Barnechea,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180406,983692,0,-33.35344003:-70.47984014,983692,2,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180406/983692/n_wm_procasa_propiedades_76265833_30858_9.jpg,-33.35344003,-70.47984014,29 fotos,240 m^2 | 751 m^2,0,0,0,0,50,22000.0,UF 22.000,0.0,0,0,,2703/2015031757349607255.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2703/2015031757349607255.jpg,240.0,240.0,0.0,0.0,751.0,751.0,0.0,0.0,False,False,0,True,Venta,Camino el Refugio del Arrayán/Camino El Cerro,Camino el Refugio del Arrayán/...,https://www.toctoc.com/propiedades/compracorredorasr/casa/lo-barnechea/camino-el-refugio-del-arrayan-camino-el-cerro/983692
3,3,3 Baños,1000000,26,Lo Barnechea,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180406,983693,0,-33.35346692:-70.47995815,983693,2,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180406/983693/n_wm_procasa_propiedades_76265833_30859_9.jpg,-33.35346692,-70.47995815,26 fotos,240 m^2 | 488 m^2,0,0,0,0,50,19500.0,UF 19.500,0.0,0,0,,2703/2015031757349607255.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2703/2015031757349607255.jpg,240.0,240.0,0.0,0.0,488.0,488.0,0.0,0.0,False,False,0,True,Venta,Camino el Refugio del Arrayán/Camino El Cerro,Camino el Refugio del Arrayán/...,https://www.toctoc.com/propiedades/compracorredorasr/casa/lo-barnechea/camino-el-refugio-del-arrayan-camino-el-cerro/983693
